Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2017,Andreas Athanasiou,DET,C,24,8/6/94,London,ON,CAN,CAN,74,188,2012,DET,4,19,110
2017,Andreas Englund,OTT,D,23,1/21/96,Stockholm,,SWE,SWE,75,189,2014,OTT,2,10,40
2017,Andreas Martinsen,"COL, MTL",L,28,6/13/90,Bærum,,NOR,NOR,75,229,-,-,-,-,-
2017,Andrei Markov,MTL,D,40,12/20/78,Voskresensk,,RUS,RUS,72,200,1998,MTL,6,17,162
2017,Andrej Nestrasil,CAR,C,27,2/22/91,Prague,,CZE,CZE,75,200,2009,DET,3,14,75
2017,Andrej Sekera,EDM,D,32,6/8/86,Bojnice,,SVK,SVK,72,200,2004,BUF,3,6,71
2017,Andrej Sustr,T.B,D,28,11/29/90,Plzen,,CZE,CZE,79,217,-,-,-,-,-
2017,Andrew Cogliano,ANA,"C, L",31,6/14/87,Toronto,ON,CAN,CAN,70,177,2005,EDM,1,25,25
2017,Andrew Copp,WPG,C,24,7/8/94,Ann Arbor,MI,USA,USA,73,206,2013,WPG,4,13,104
2017,Andrew Desjardins,CHI,"C, L",32,7/27/86,Lively,ON,CAN,CAN,73,195,-,-,-,-,-
2017,Andrew Ladd,NYI,L,33,12/12/85,Maple Ridge,BC,CAN,CAN,75,192,2004,CAR,1,4,4
2017,Andrew MacDonald,PHI,D,32,9/7/86,Judique,NS,CAN,CAN,73,204,2006,NYI,6,7,160
2017,Andrew Poturalski,CAR,C,25,1/14/94,Williamsville,NY,USA,USA,70,180,-,-,-,-,-
2017,Andrew Shaw,MTL,C,27,7/20/91,Belleville,ON,CAN,CAN,71,182,2011,CHI,5,18,139
2017,Andy Andreoff,L.A,"C, L",27,5/17/91,Pickering,ON,CAN,CAN,73,188,2011,L.A,3,19,80
2017,Andy Greene,N.J,D,36,10/30/82,Trenton,MI,USA,USA,71,190,-,-,-,-,-
2017,Anthony Beauvillier,NYI,"C, L",21,6/8/97,Sorel-Tracy,QC,CAN,CAN,71,182,2015,NYI,1,28,28
2017,Anthony Bitetto,NSH,D,28,7/15/90,Island Park,NY,USA,USA,73,210,2010,NSH,6,18,168
2017,Anthony DeAngelo,ARI,D,23,10/24/95,Sewell,NJ,USA,USA,71,180,2014,T.B,1,19,19
2017,Anthony Duclair,ARI,L,23,8/26/95,Pointe-Claire,QC,CAN,CAN,71,191,2013,NYR,3,19,80
2017,Anthony Mantha,DET,R,24,9/16/94,Longueuil,QC,CAN,CAN,77,225,2013,DET,1,20,20
2017,Antoine Roussel,DAL,L,29,11/21/89,Roubaix,,FRA,FRA,71,199,-,-,-,-,-
2017,Antoine Vermette,ANA,C,36,7/20/82,St. Agapit,QC,CAN,CAN,73,197,2000,OTT,2,25,55
2017,Anton Blidh,BOS,L,23,3/14/95,Molnlycke,,SWE,SWE,72,201,2013,BOS,6,29,180
2017,Anton Lander,EDM,C,27,4/24/91,Sundsvall,,SWE,SWE,72,184,2009,EDM,2,10,40
2017,Anton Lindholm,COL,D,24,11/29/94,Skellefteå,,SWE,SWE,71,191,2014,COL,5,24,144
2017,Anton Rodin,VAN,R,28,11/21/90,Stockholm,,SWE,SWE,71,186,2009,VAN,2,23,53
2017,Anton Slepyshev,EDM,L,24,5/13/94,Penza,,RUS,RUS,74,221,2013,EDM,3,27,88
2017,Anton Stralman,T.B,D,32,8/1/86,Tibro,,SWE,SWE,71,190,2005,TOR,7,22,216
2017,Anze Kopitar,L.A,C,31,8/24/87,Jesenice,,SVN,SVN,75,225,2005,L.A,1,11,11
2017,Artem Anisimov,CHI,C,30,5/24/88,Yaroslavl,,RUS,RUS,76,198,2006,NYR,2,24,54
2017,Artemi Panarin,CHI,"C, L",27,10/30/91,Korkino,,RUS,RUS,71,168,-,-,-,-,-
2017,Artturi Lehkonen,MTL,L,23,7/4/95,Piikkio,,FIN,FIN,72,177,2013,MTL,2,25,55
2017,Austin Czarnik,BOS,C,26,12/12/92,Detroit,MI,USA,USA,69,170,-,-,-,-,-
2017,Austin Watson,NSH,L,27,1/13/92,Ann Arbor,MI,USA,USA,76,204,2010,NSH,1,18,18
2017,Auston Matthews,TOR,C,21,9/17/97,San Ramon,CA,USA,USA,75,223,2016,TOR,1,1,1
2017,Barclay Goodrow,S.J,R,25,2/26/93,Toronto,ON,CAN,CAN,74,215,-,-,-,-,-
2017,Beau Bennett,N.J,R,27,11/27/91,Gardena,CA,USA,USA,74,195,2010,PIT,1,20,20
2017,Ben Chiarot,WPG,D,27,5/9/91,Hamilton,ON,CAN,CAN,75,219,2009,ATL,4,29,120
2017,Ben Harpur,OTT,D,24,1/12/95,Hamilton,ON,CAN,CAN,78,222,2013,OTT,4,17,108
2017,Ben Hutton,VAN,D,25,4/20/93,Brockville,ON,CAN,CAN,74,206,2012,VAN,5,26,147
2017,Ben Lovejoy,N.J,D,34,2/20/84,Concord,NH,USA,USA,73,205,-,-,-,-,-
2017,Ben Smith,"COL, TOR",R,30,7/11/88,Winston-Salem,NC,USA,USA,71,203,2008,CHI,6,18,169
2017,Ben Street,DET,C,31,2/13/87,Coquitlam,BC,CAN,CAN,71,190,-,-,-,-,-
2017,Ben Thomson,N.J,L,26,1/16/93,Brampton,ON,CAN,CAN,75,205,2012,N.J,4,5,96
2017,Benoit Pouliot,EDM,L,32,9/29/86,Alfred,ON,CAN,CAN,75,200,2005,MIN,1,4,4
2017,Blake Coleman,N.J,C,27,11/28/91,Plano,TX,USA,USA,71,200,2011,N.J,3,14,75
2017,Blake Comeau,COL,L,32,2/18/86,Meadow Lake,SK,CAN,CAN,73,200,2004,NYI,2,17,47
2017,Blake Pietila,N.J,L,25,2/20/93,Milford,MI,USA,USA,71,200,2011,N.J,5,8,129
2017,Blake Speers,N.J,C,22,1/2/97,Sault Ste. Marie,ON,CAN,CAN,71,185,2015,N.J,3,6,67
2017,Blake Wheeler,WPG,R,32,8/31/86,Plymouth,MN,USA,USA,77,225,2004,PHX,1,5,5
2017,Bo Horvat,VAN,C,23,4/5/95,London,ON,CAN,CAN,72,215,2013,VAN,1,9,9
2017,Bobby Farnham,MTL,R,30,1/21/89,North Andover,MA,USA,USA,70,190,-,-,-,-,-
2017,Bobby Ryan,OTT,R,31,3/17/87,Cherry Hill,NJ,USA,USA,74,209,2005,ANA,1,2,2
2017,Boone Jenner,CBJ,C,25,6/15/93,Dorchester,ON,CAN,CAN,74,206,2011,CBJ,2,7,37
2017,Borna Rendulic,VAN,R,26,3/25/92,Zagreb,,HRV,HRV,74,200,-,-,-,-,-
2017,Boyd Gordon,PHI,C,35,10/19/83,Unity,SK,CAN,CAN,72,200,2002,WSH,1,17,17
2017,Bracken Kearns,NYI,C,37,5/12/81,North Vancouver,BC,CAN,CAN,72,188,-,-,-,-,-
2017,Brad Hunt,"NSH, STL",D,30,8/24/88,Maple Ridge,BC,CAN,CAN,69,187,-,-,-,-,-
2017,Brad Marchand,BOS,"C, L",30,5/11/88,Halifax,NS,CAN,CAN,69,181,2006,BOS,3,8,71
2017,Brad Richardson,ARI,R,34,2/4/85,Belleville,ON,CAN,CAN,72,190,2003,COL,5,27,163
2017,Brady Austin,BUF,D,25,6/16/93,Bobcaygeon,ON,CAN,CAN,76,230,2012,BUF,7,12,193
2017,Brady Skjei,NYR,D,24,3/26/94,Lakeville,MN,USA,USA,75,214,2012,NYR,1,28,28
2017,Brandon Carlo,BOS,D,22,11/26/96,Colorado Springs,CO,USA,USA,77,212,2015,BOS,2,7,37
2017,Brandon Davidson,"EDM, MTL",D,27,8/21/91,Taber,AB,CAN,CAN,74,208,2010,EDM,6,12,162
2017,Brandon Dubinsky,CBJ,C,32,4/29/86,Anchorage,AK,USA,USA,74,205,2004,NYR,2,30,60
2017,Brandon Manning,PHI,D,28,6/4/90,Prince George,BC,CAN,CAN,73,205,-,-,-,-,-
2017,Brandon Montour,ANA,D,24,4/11/94,Brantford,ON,CAN,CAN,72,193,2014,ANA,2,25,55
2017,Brandon Pirri,NYR,"C, R",27,4/10/91,Toronto,ON,CAN,CAN,72,186,2009,CHI,2,29,59
2017,Brandon Saad,CBJ,L,26,10/27/92,Pittsburgh,PA,USA,USA,73,206,2011,CHI,2,13,43
2017,Brandon Sutter,VAN,C,29,2/14/89,Huntington,NY,USA,CAN,75,190,2007,CAR,1,11,11
2017,Brandon Tanev,WPG,L,27,12/31/91,Toronto,ON,CAN,CAN,72,180,-,-,-,-,-
2017,Brayden McNabb,L.A,D,28,1/21/91,Davidson,SK,CAN,CAN,76,212,2009,BUF,3,5,66
2017,Brayden Point,T.B,C,22,3/13/96,Calgary,AB,CAN,CAN,70,166,2014,T.B,3,19,79
2017,Brayden Schenn,PHI,C,27,8/22/91,Saskatoon,SK,CAN,CAN,73,200,2009,L.A,1,5,5
2017,Braydon Coburn,T.B,D,33,2/27/85,Shaunavon,SK,CAN,CAN,77,223,2003,ATL,1,8,8
2017,Brendan Gallagher,MTL,R,26,5/6/92,Edmonton,AB,CAN,CAN,69,184,2010,MTL,5,27,147
2017,Brendan Gaunce,VAN,C,24,3/25/94,Sudbury,ON,CAN,CAN,74,217,2012,VAN,1,26,26
2017,Brendan Guhle,BUF,D,21,7/29/97,Edmonton,AB,CAN,CAN,74,196,2015,BUF,2,21,51
2017,Brendan Perlini,ARI,L,22,4/27/96,Guildford,,GBR,GBR,75,211,2014,ARI,1,12,12
2017,Brendan Smith,"DET, NYR",D,29,2/8/89,Mimico,ON,CAN,CAN,74,195,2007,DET,1,27,27
2017,Brenden Dillon,S.J,D,28,11/13/90,New Westminster,BC,CAN,CAN,76,225,-,-,-,-,-
2017,Brent Burns,S.J,D,33,3/9/85,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
2017,Brent Seabrook,CHI,D,33,4/20/85,Richmond,BC,CAN,CAN,75,220,2003,CHI,1,14,14
2017,Brett Connolly,WSH,R,26,5/2/92,Campbell River,BC,CAN,CAN,75,195,2010,T.B,1,6,6
2017,Brett Kulak,CGY,D,25,1/6/94,Edmonton,AB,CAN,CAN,74,187,2012,CGY,4,14,105
2017,Brett Lernout,MTL,D,23,9/24/95,Winnipeg,MB,CAN,CAN,76,214,2014,MTL,3,13,73
2017,Brett Pesce,CAR,D,24,11/15/94,Tarrytown,NY,USA,USA,75,206,2013,CAR,3,5,66
2017,Brett Ritchie,DAL,R,25,7/1/93,Orangeville,ON,CAN,CAN,75,220,2011,DAL,2,14,44
2017,Brian Boyle,"T.B, TOR",C,34,12/18/84,Hingham,MA,USA,USA,78,245,2003,L.A,1,26,26
2017,Brian Campbell,CHI,D,39,5/23/79,Strathroy,ON,CAN,CAN,70,192,1997,BUF,6,22,156
2017,Brian Dumoulin,PIT,D,27,9/6/91,Biddeford,ME,USA,USA,76,207,2009,CAR,2,21,51
2017,Brian Flynn,MTL,C,30,7/26/88,Lynnfield,MA,USA,USA,73,183,-,-,-,-,-
2017,Brian Gionta,BUF,R,40,1/18/79,Rochester,NY,USA,USA,67,178,1998,N.J,3,24,82
2017,Brian Lashoff,DET,D,28,7/16/90,Albany,NY,USA,USA,75,219,-,-,-,-,-
2017,Brian Strait,WPG,D,31,1/4/88,Waltham,MA,USA,USA,73,188,2006,PIT,3,2,65
2017,Brock Boeser,VAN,R,21,2/25/97,Burnsville,MN,USA,USA,73,208,2015,VAN,1,23,23
2017,Brock McGinn,CAR,L,25,2/2/94,Fergus,ON,CAN,CAN,72,187,2012,CAR,2,17,47
2017,Brock Nelson,NYI,C,27,10/15/91,Warroad,MN,USA,USA,75,212,2010,NYI,1,30,30
2017,Brooks Orpik,WSH,D,38,9/26/80,San Francisco,CA,USA,USA,75,217,2000,PIT,1,18,18
2017,Bryan Bickell,CAR,L,32,3/9/86,Bowmanville,ON,CAN,CAN,76,223,2004,CHI,2,11,41
2017,Bryan Little,WPG,C,31,11/12/87,Edmonton,AB,CAN,CAN,72,191,2006,ATL,1,12,12
2017,Bryan Rust,PIT,R,26,5/11/92,Pontiac,MI,USA,USA,71,192,2010,PIT,3,20,80
2017,Buddy Robinson,OTT,R,27,9/30/91,Bellmawr,NJ,USA,USA,78,232,-,-,-,-,-
2017,Byron Froese,"T.B, TOR",C,27,3/12/91,Winkler,MB,CAN,CAN,73,202,2009,CHI,4,28,119
2017,C.J. Smith,BUF,L,24,12/1/94,Des Moines,IA,USA,USA,71,181,-,-,-,-,-
2017,Cal Clutterbuck,NYI,R,31,11/18/87,Welland,ON,CAN,CAN,71,216,2006,MIN,3,9,72
2017,Cal O'Reilly,BUF,C,32,9/30/86,Toronto,ON,CAN,CAN,72,188,2005,NSH,5,25,150
2017,Calle Jarnkrok,NSH,C,27,9/25/91,Gävle,,SWE,SWE,71,186,2010,DET,2,21,51
2017,Calvin de Haan,NYI,D,27,5/9/91,Carp,ON,CAN,CAN,73,195,2009,NYI,1,12,12
2017,Cam Atkinson,CBJ,R,29,6/5/89,Riverside,CT,USA,USA,68,179,2008,CBJ,6,6,157
2017,Cam Fowler,ANA,D,27,12/5/91,Windsor,ON,CAN,USA,73,206,2010,ANA,1,12,12
2017,Cameron Gaunce,PIT,D,28,3/19/90,Sudbury,ON,CAN,CAN,74,204,2008,COL,2,20,50
2017,Carl Gunnarsson,STL,D,32,11/9/86,Orebro,,SWE,SWE,74,198,2007,TOR,7,13,194
2017,Carl Hagelin,PIT,L,30,8/23/88,Sodertalje,,SWE,SWE,71,186,2007,NYR,6,17,168
2017,Carl Soderberg,COL,C,33,10/12/85,Malmö,,SWE,SWE,75,210,2004,STL,2,19,49
2017,Carter Rowney,PIT,R,29,5/10/89,Grand Prairie,AB,CAN,CAN,74,206,-,-,-,-,-
2017,Casey Bailey,OTT,R,27,10/27/91,Anchorage,AK,USA,USA,75,195,-,-,-,-,-
2017,Casey Cizikas,NYI,C,27,2/27/91,Toronto,ON,CAN,CAN,71,195,2009,NYI,4,1,92
2017,Casey Nelson,BUF,D,26,7/18/92,Wisconsin Rapids,WI,USA,USA,73,185,-,-,-,-,-
2017,Cedric Paquette,T.B,C,25,8/13/93,Gaspe,QC,CAN,CAN,73,198,2012,T.B,4,10,101
2017,Chad Ruhwedel,PIT,D,28,5/7/90,San Diego,CA,USA,USA,71,191,-,-,-,-,-
2017,Chandler Stephenson,WSH,C,24,4/22/94,Saskatoon,SK,CAN,CAN,72,203,2012,WSH,3,16,77
2017,Charles Hudon,MTL,L,24,6/23/94,Alma,QC,CAN,CAN,70,196,2012,MTL,5,1,122
2017,Charlie Coyle,MIN,C,26,3/2/92,E. Weymouth,MA,USA,USA,75,220,2010,S.J,1,28,28
2017,Chris Butler,STL,D,32,10/27/86,St. Louis,MO,USA,USA,73,196,2005,BUF,4,5,96
2017,Chris Kelly,OTT,C,38,11/11/80,Toronto,ON,CAN,CAN,72,190,1999,OTT,3,28,94
2017,Chris Kreider,NYR,"C, L",27,4/30/91,Boxford,MA,USA,USA,75,216,2009,NYR,1,19,19
2017,Chris Kunitz,PIT,L,39,9/26/79,Regina,SK,CAN,CAN,72,188,-,-,-,-,-
2017,Chris Neil,OTT,R,39,6/18/79,Flesherton,ON,CAN,CAN,73,209,1998,OTT,6,16,161
2017,Chris Stewart,MIN,R,31,10/30/87,Toronto,ON,CAN,CAN,74,242,2006,COL,1,18,18
2017,Chris Terry,MTL,L,29,4/7/89,Brampton,ON,CAN,CAN,70,191,2007,CAR,5,11,132
2017,Chris Thorburn,WPG,R,35,6/3/83,Sault Ste. Marie,ON,CAN,CAN,75,235,2001,BUF,2,20,50
2017,Chris Tierney,S.J,C,24,7/1/94,Keswick,ON,CAN,CAN,73,195,2012,S.J,2,25,55
2017,Chris VandeVelde,PHI,C,31,3/15/87,Moorhead,MN,USA,USA,74,190,2005,EDM,4,6,97
2017,Chris Wagner,ANA,"C, R",27,5/27/91,Walpole,MA,USA,USA,72,198,2010,ANA,5,2,122
2017,Chris Wideman,OTT,D,29,1/7/90,St. Louis,MO,USA,USA,70,183,2009,OTT,4,9,100
2017,Christian Dvorak,ARI,"C, L",23,2/2/96,Palos,IL,USA,USA,72,195,2014,ARI,2,28,58
2017,Christian Fischer,ARI,R,21,4/15/97,Chicago,IL,USA,USA,74,214,2015,ARI,2,2,32
2017,Christian Folin,MIN,D,27,2/9/91,Gothenburg,,SWE,SWE,75,204,-,-,-,-,-
2017,Christoph Bertschy,MIN,C,24,4/5/94,Fribourg,,CHE,CHE,70,185,2012,MIN,6,7,158
2017,Christopher DiDomenico,OTT,C,29,2/20/89,Toronto,ON,CAN,CAN,71,174,2007,TOR,6,13,164
2017,Christopher Tanev,VAN,D,29,12/20/89,Toronto,ON,CAN,CAN,74,197,-,-,-,-,-
2017,Clarke MacArthur,OTT,L,33,4/6/85,Lloydminster,AB,CAN,CAN,72,192,2003,BUF,3,6,74
2017,Claude Giroux,PHI,"C, R",31,1/12/88,Hearst,ON,CAN,CAN,71,185,2006,PHI,1,22,22
2017,Clayton Keller,ARI,C,20,7/29/98,Chesterfield,MO,USA,USA,70,170,2016,ARI,1,7,7
2017,Clayton Stoner,ANA,D,33,2/19/85,Port McNeill,BC,CAN,CAN,76,216,2004,MIN,3,14,79
2017,Cody Bass,NSH,C,32,1/7/87,Owen sound,ON,CAN,CAN,72,205,2005,OTT,4,4,95
2017,Cody Ceci,OTT,D,25,12/21/93,Ottawa,ON,CAN,CAN,74,209,2012,OTT,1,15,15
2017,Cody Eakin,DAL,C,27,5/24/91,Winnipeg,MB,CAN,CAN,72,190,2009,WSH,3,24,85
2017,Cody Franson,BUF,D,31,8/8/87,Sicamous,BC,CAN,CAN,77,224,2005,NSH,3,18,79
2017,Cody Goloubef,COL,D,29,11/30/89,Mississauga,ON,CAN,CAN,73,200,2008,CBJ,2,7,37
2017,Cody McLeod,"COL, NSH",L,34,6/26/84,Binscarth,MB,CAN,CAN,74,204,-,-,-,-,-
2017,Cole Schneider,BUF,L,28,8/26/90,Williamsville,NY,USA,USA,73,199,-,-,-,-,-
2017,Colin McDonald,PHI,R,34,9/30/84,Wethersfield,CT,USA,USA,74,219,2003,EDM,2,21,51
2017,Colin Miller,BOS,D,26,10/29/92,Sault Ste. Marie,ON,CAN,CAN,73,196,2012,L.A,5,30,151
2017,Colin White,OTT,C,22,1/30/97,Boston,MA,USA,USA,72,183,2015,OTT,1,21,21
2017,Colin Wilson,NSH,"C, L",29,10/20/89,Greenwich,CT,USA,USA,73,221,2008,NSH,1,7,7
2017,Colton Parayko,STL,D,25,5/12/93,St. Albert,AB,CAN,CAN,78,230,2012,STL,3,25,86
2017,Colton Sceviour,FLA,C,29,4/20/89,Red Deer,AB,CAN,CAN,72,192,2007,DAL,4,21,112
2017,Colton Sissons,NSH,C,25,11/5/93,North Vancouver,BC,CAN,CAN,73,200,2012,NSH,2,20,50
2017,Connor Brown,TOR,R,25,1/14/94,Toronto,ON,CAN,CAN,72,183,2012,TOR,6,5,156
2017,Connor Carrick,TOR,D,24,4/13/94,Orland Park,IL,USA,USA,70,192,2012,WSH,5,16,137
2017,Connor Jones,NYI,C,28,8/16/90,Montrose,BC,CAN,CAN,69,182,-,-,-,-,-
2017,Connor McDavid,EDM,C,22,1/13/97,Richmond Hill,ON,CAN,CAN,73,193,2015,EDM,1,1,1
2017,Connor Murphy,ARI,D,25,3/26/93,Dublin,OH,USA,USA,76,212,2011,PHX,1,20,20
2017,Conor Sheary,PIT,L,26,6/8/92,Winchester,MA,USA,USA,68,176,-,-,-,-,-
2017,Corey Perry,ANA,R,33,5/16/85,Peterborough,ON,CAN,CAN,75,206,2003,ANA,1,28,28
2017,Corey Tropp,ANA,R,29,7/25/89,Grosse Pointe Woods,MI,USA,USA,72,192,2007,BUF,3,28,89
2017,Cory Conacher,T.B,C,29,12/14/89,Burlington,ON,CAN,CAN,68,180,-,-,-,-,-
2017,Craig Smith,NSH,"C, R",29,9/5/89,Madison,WI,USA,USA,73,208,2009,NSH,4,7,98
2017,Cristoval Nieves,NYR,C,25,1/23/94,Syracuse,NY,USA,USA,75,210,2012,NYR,2,29,59
2017,Curtis Lazar,"CGY, OTT",C,24,2/2/95,Salmon Arm,BC,CAN,CAN,72,205,2013,OTT,1,17,17
2017,Curtis McKenzie,DAL,L,27,2/22/91,Golden,BC,CAN,CAN,74,205,2009,DAL,6,8,159
2017,Dale Weise,PHI,R,30,8/5/88,Winnipeg,MB,CAN,CAN,74,206,2008,NYR,4,20,111
2017,Dalton Prout,"CBJ, N.J",D,28,3/13/90,Kingsville,ON,CAN,CAN,75,215,2010,CBJ,6,4,154
2017,Damon Severson,N.J,D,24,8/7/94,Melville,SK,CAN,CAN,74,205,2012,N.J,2,30,60
2017,Dan Girardi,NYR,D,34,4/29/84,Welland,ON,CAN,CAN,73,212,-,-,-,-,-
2017,Dan Hamhuis,DAL,D,36,12/13/82,Smithers,BC,CAN,CAN,73,204,2001,NSH,1,12,12
2017,Dan Renouf,DET,D,24,6/1/94,Pickering,ON,CAN,CAN,74,205,-,-,-,-,-
2017,Daniel Carr,MTL,L,27,11/1/91,Sherwood Park,AB,CAN,CAN,72,193,-,-,-,-,-
2017,Daniel O'Regan,S.J,C,25,1/30/94,Berlin,,DEU,USA,70,180,2012,S.J,5,17,138
2017,Daniel Sedin,VAN,L,38,9/26/80,Ornskoldsvik,,SWE,SWE,73,190,1999,VAN,1,2,2
2017,Daniel Winnik,WSH,L,33,3/6/85,Toronto,ON,CAN,CAN,74,210,2004,PHX,9,7,265
2017,Danny DeKeyser,DET,D,28,3/7/90,Detroit,MI,USA,USA,75,192,-,-,-,-,-
2017,Danton Heinen,BOS,C,23,7/5/95,Langley,BC,CAN,CAN,73,188,2014,BOS,4,26,116
2017,Darnell Nurse,EDM,D,24,2/4/95,Hamilton,ON,CAN,CAN,76,221,2013,EDM,1,7,7
2017,Darren Helm,DET,C,32,1/21/87,St. Andrews,MB,CAN,CAN,72,196,2005,DET,5,7,132
2017,David Backes,BOS,R,34,5/1/84,Minneapolis,MN,USA,USA,75,215,2003,STL,2,32,62
2017,David Desharnais,"EDM, MTL",C,32,9/14/86,Laurier-Station,QC,CAN,CAN,67,180,-,-,-,-,-
2017,David Krejci,BOS,C,32,4/28/86,Sternberk,,CZE,CZE,72,188,2004,BOS,2,33,63
2017,David Pastrnak,BOS,R,22,5/25/96,Havirov,,CZE,CZE,72,194,2014,BOS,1,25,25
2017,David Perron,STL,L,30,5/28/88,Sherbrooke,QC,CAN,CAN,72,200,2007,STL,1,26,26
2017,David Savard,CBJ,D,28,10/22/90,St. Hyacinthe,QC,CAN,CAN,74,227,2009,CBJ,4,3,94
2017,David Schlemko,S.J,D,31,5/7/87,Edmonton,AB,CAN,CAN,73,191,-,-,-,-,-
2017,David Warsofsky,PIT,D,28,5/30/90,Marshfield,MA,USA,USA,69,170,2008,STL,4,4,95
2017,Denis Gurianov,DAL,R,21,6/7/97,Togliatti,,RUS,RUS,75,195,2015,DAL,1,12,12
