"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"66","Alex Goligoski","ARI","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"799","Alex Iafallo","L.A","L","25","1993-12-21","Eden","NY","USA","USA","72","188","-","-","-","-","-"
"133","Alex Killorn","T.B","L","29","1989-09-14","Halifax","NS","CAN","CAN","73","196","2007","T.B","3","16","77"
"55","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"303","Alex Petrovic","EDM, FLA","D","26","1992-03-03","Edmonton","AB","CAN","CAN","76","216","2010","FLA","2","6","36"
"181","Alex Pietrangelo","STL","D","29","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"600","Alex Tuch","VGK","R","22","1996-05-10","Syracuse","NY","USA","USA","76","222","2014","MIN","1","18","18"
"68","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","212","2004","VAN","3","26","91"
"491","Alexander Kerfoot","COL","C","24","1994-08-11","Vancouver","BC","CAN","CAN","70","175","2012","N.J","5","29","150"
"60","Alexander Radulov","DAL","R","32","1986-07-05","Nizhny Tagil","","RUS","RUS","73","205","2004","NSH","1","15","15"
"24","Alexander Steen","STL","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"559","Alexander Wennberg","CBJ","C","24","1994-09-22","Stockholm","","SWE","SWE","74","196","2013","CBJ","1","14","14"
"772","Alexandre Fortin","CHI","L","21","1997-02-25","Blainville","QC","CAN","CAN","72","184","-","-","-","-","-"
"636","Anders Bjork","BOS","L","22","1996-08-05","Mequon","WI","USA","USA","72","190","2014","BOS","5","26","146"
"270","Anders Lee","NYI","L","28","1990-07-03","Edina","MN","USA","USA","75","231","2009","NYI","6","1","152"
"524","Andre Burakovsky","WSH","L","23","1995-02-09","Klagenfurt","","AUT","SWE","75","201","2013","WSH","1","23","23"
"478","Andreas Athanasiou","DET","C","24","1994-08-06","London","ON","CAN","CAN","74","188","2012","DET","4","19","110"
"501","Andreas Johnsson","TOR","L","24","1994-11-21","Gävle","","SWE","SWE","70","181","2013","TOR","7","21","202"
"703","Andreas Martinsen","CHI","L","28","1990-06-13","Bærum","","NOR","NOR","75","229","-","-","-","-","-"
"819","Andrei Svechnikov","CAR","R","18","2000-03-26","Barnual","","RUS","RUS","74","195","2018","CAR","1","2","2"
"494","Andrej Sustr","ANA","D","28","1990-11-29","Plzen","","CZE","CZE","79","217","-","-","-","-","-"
"83","Andrew Cogliano","ANA, DAL","C, L","31","1987-06-14","Toronto","ON","CAN","CAN","70","177","2005","EDM","1","25","25"
"521","Andrew Copp","WPG","C","24","1994-07-08","Ann Arbor","MI","USA","USA","73","206","2013","WPG","4","13","104"
"57","Andrew Ladd","NYI","L","33","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"126","Andrew MacDonald","PHI","D","32","1986-09-07","Judique","NS","CAN","CAN","73","204","2006","NYI","6","7","160"
"645","Andrew Mangiapane","CGY","L","22","1996-04-04","Toronto","ON","CAN","CAN","70","184","2015","CGY","6","15","166"
"364","Andrew Shaw","MTL","R","27","1991-07-20","Belleville","ON","CAN","CAN","71","182","2011","CHI","5","18","139"
"101","Andy Greene","N.J","D","36","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"370","Andy Welinski","ANA","D","25","1993-04-27","Duluth","MN","USA","USA","73","201","2011","ANA","3","22","83"
"685","Anthony Beauvillier","NYI","C, L","21","1997-06-08","Sorel-Tracy","QC","CAN","CAN","71","182","2015","NYI","1","28","28"
"336","Anthony Bitetto","NSH","D","28","1990-07-15","Island Park","NY","USA","USA","73","210","2010","NSH","6","18","168"
"699","Anthony Cirelli","T.B","C","21","1997-07-15","Etobicoke","ON","CAN","CAN","72","180","2015","T.B","3","11","72"
"515","Anthony Duclair","CBJ","L","23","1995-08-26","Pointe-Claire","QC","CAN","CAN","71","191","2013","NYR","3","19","80"
"763","Anthony Greco","FLA","R","25","1993-09-30","Queens","NY","USA","USA","70","176","-","-","-","-","-"
"564","Anthony Mantha","DET","R","24","1994-09-16","Longueuil","QC","CAN","CAN","77","225","2013","DET","1","20","20"
"149","Anthony Peluso","CGY","R","29","1989-04-18","North York","ON","CAN","CAN","75","225","2007","STL","6","9","160"
"660","Anthony Richard","NSH","C","22","1996-12-20","Trois-Rivieres","QC","CAN","CAN","70","163","2015","NSH","4","9","100"
"220","Antoine Roussel","VAN","L","29","1989-11-21","Roubaix","","FRA","FRA","71","199","-","-","-","-","-"
"635","Anton Lindholm","COL","D","24","1994-11-29","Skellefteå","","SWE","SWE","71","191","2014","COL","5","24","144"
"98","Anton Stralman","T.B","D","32","1986-08-01","Tibro","","SWE","SWE","71","190","2005","TOR","7","22","216"
"830","Antti Suomela","S.J","C","24","1994-03-17","Espoo","","FIN","FIN","72","180","-","-","-","-","-"
"79","Anze Kopitar","L.A","C","31","1987-08-24","Jesenice","","SVN","SVN","75","225","2005","L.A","1","11","11"
"125","Artem Anisimov","CHI","C","30","1988-05-24","Yaroslavl","","RUS","RUS","76","198","2006","NYR","2","24","54"
"702","Artemi Panarin","CBJ","L","27","1991-10-30","Korkino","","RUS","RUS","71","168","-","-","-","-","-"
"542","Artturi Lehkonen","MTL","L","23","1995-07-04","Piikkio","","FIN","FIN","72","177","2013","MTL","2","25","55"
"698","Austin Czarnik","CGY","C","26","1992-12-12","Detroit","MI","USA","USA","69","170","-","-","-","-","-"
"681","Austin Wagner","L.A","L","21","1997-06-23","Calgary","AB","CAN","CAN","73","185","2015","L.A","4","8","99"
"310","Austin Watson","NSH","L","27","1992-01-13","Ann Arbor","MI","USA","USA","76","204","2010","NSH","1","18","18"
"730","Auston Matthews","TOR","C","21","1997-09-17","San Ramon","CA","USA","USA","75","223","2016","TOR","1","1","1"
"420","Barclay Goodrow","S.J","R","25","1993-02-26","Toronto","ON","CAN","CAN","74","215","-","-","-","-","-"
"268","Ben Chiarot","WPG","D","27","1991-05-09","Hamilton","ON","CAN","CAN","75","219","2009","ATL","4","29","120"
"758","Ben Gleason","DAL","D","20","1998-03-25","Ortonville","MI","USA","USA","73","185","-","-","-","-","-"
"522","Ben Harpur","OTT","D","24","1995-01-12","Hamilton","ON","CAN","CAN","78","222","2013","OTT","4","17","108"
"490","Ben Hutton","VAN","D","25","1993-04-20","Brockville","ON","CAN","CAN","74","206","2012","VAN","5","26","147"
"132","Ben Lovejoy","N.J","D","34","1984-02-20","Concord","NH","USA","USA","73","205","-","-","-","-","-"
"342","Ben Street","ANA","C","31","1987-02-13","Coquitlam","BC","CAN","CAN","71","190","-","-","-","-","-"
"369","Blake Coleman","N.J","C","27","1991-11-28","Plano","TX","USA","USA","71","200","2011","N.J","3","14","75"
"63","Blake Comeau","DAL","L","32","1986-02-18","Meadow Lake","SK","CAN","CAN","73","200","2004","NYI","2","17","47"
"361","Blake Pietila","N.J","L","25","1993-02-20","Milford","MI","USA","USA","71","200","2011","N.J","5","8","129"
"58","Blake Wheeler","WPG","R","32","1986-08-31","Plymouth","MN","USA","USA","77","225","2004","PHX","1","5","5"
"555","Bo Horvat","VAN","C","23","1995-04-05","London","ON","CAN","CAN","72","215","2013","VAN","1","9","9"
"77","Bobby Ryan","OTT","R","31","1987-03-17","Cherry Hill","NJ","USA","USA","74","209","2005","ANA","1","2","2"
"829","Bogdan Kiselevich","FLA","D","28","1990-02-14","Cherepovets","","RUS","RUS","72","202","-","-","-","-","-"
"467","Boo Nieves","NYR","C","25","1994-01-23","Syracuse","NY","USA","USA","75","210","2012","NYR","2","29","59"
"380","Boone Jenner","CBJ","C","25","1993-06-15","Dorchester","ON","CAN","CAN","74","206","2011","CBJ","2","7","37"
"421","Brad Hunt","MIN, VGK","D","30","1988-08-24","Maple Ridge","BC","CAN","CAN","69","187","-","-","-","-","-"
"153","Brad Malone","EDM","C","29","1989-05-20","Miramichi","NB","CAN","CAN","73","217","2007","COL","4","14","105"
"105","Brad Marchand","BOS","L","30","1988-05-11","Halifax","NS","CAN","CAN","69","181","2006","BOS","3","8","71"
"48","Brad Richardson","ARI","C","34","1985-02-04","Belleville","ON","CAN","CAN","72","190","2003","COL","5","27","163"
"436","Brady Skjei","NYR","D","24","1994-03-26","Lakeville","MN","USA","USA","75","214","2012","NYR","1","28","28"
"815","Brady Tkachuk","OTT","L","19","1999-09-16","Scottsdale","AZ","USA","USA","75","196","2018","OTT","1","4","4"
"675","Brandon Carlo","BOS","D","22","1996-11-26","Colorado Springs","CO","USA","USA","77","212","2015","BOS","2","7","37"
"337","Brandon Davidson","CHI","D","27","1991-08-21","Taber","AB","CAN","CAN","74","208","2010","EDM","6","12","162"
"65","Brandon Dubinsky","CBJ","C","32","1986-04-29","Anchorage","AK","USA","USA","74","205","2004","NYR","2","30","60"
"278","Brandon Manning","CHI, EDM","D","28","1990-06-04","Prince George","BC","CAN","CAN","73","205","-","-","-","-","-"
"618","Brandon Montour","ANA","D","24","1994-04-11","Brantford","ON","CAN","CAN","72","193","2014","ANA","2","25","55"
"250","Brandon Pirri","VGK","C","27","1991-04-10","Toronto","ON","CAN","CAN","72","186","2009","CHI","2","29","59"
"383","Brandon Saad","CHI","L","26","1992-10-27","Pittsburgh","PA","USA","USA","73","206","2011","CHI","2","13","43"
"155","Brandon Sutter","VAN","C","29","1989-02-14","Huntington","NY","USA","CAN","75","190","2007","CAR","1","11","11"
"726","Brandon Tanev","WPG","L","27","1991-12-31","Toronto","ON","CAN","CAN","72","180","-","-","-","-","-"
"245","Brayden McNabb","VGK","D","28","1991-01-21","Davidson","SK","CAN","CAN","76","212","2009","BUF","3","5","66"
"622","Brayden Point","T.B","C","22","1996-03-13","Calgary","AB","CAN","CAN","70","166","2014","T.B","3","19","79"
"234","Brayden Schenn","STL","C","27","1991-08-22","Saskatoon","SK","CAN","CAN","73","200","2009","L.A","1","5","5"
"31","Braydon Coburn","T.B","D","33","1985-02-27","Shaunavon","SK","CAN","CAN","77","223","2003","ATL","1","8","8"
"333","Brendan Gallagher","MTL","R","26","1992-05-06","Edmonton","AB","CAN","CAN","69","184","2010","MTL","5","27","147"
"435","Brendan Gaunce","VAN","C","24","1994-03-25","Sudbury","ON","CAN","CAN","74","217","2012","VAN","1","26","26"
"668","Brendan Guhle","BUF","D","21","1997-07-29","Edmonton","AB","CAN","CAN","74","196","2015","BUF","2","21","51"
"455","Brendan Leipsic","L.A, VAN","L","24","1994-05-19","Winnipeg","MB","CAN","CAN","70","170","2012","NSH","3","28","89"
"612","Brendan Lemieux","WPG","L","22","1996-03-15","Denver","CO","USA","USA","73","210","2014","BUF","2","1","31"
"594","Brendan Perlini","ARI, CHI","L","22","1996-04-27","Guildford","","GBR","GBR","75","211","2014","ARI","1","12","12"
"154","Brendan Smith","NYR","D","29","1989-02-08","Mimico","ON","CAN","CAN","74","195","2007","DET","1","27","27"
"279","Brenden Dillon","S.J","D","28","1990-11-13","New Westminster","BC","CAN","CAN","76","225","-","-","-","-","-"
"39","Brent Burns","S.J","D","33","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"35","Brent Seabrook","CHI","D","33","1985-04-20","Richmond","BC","CAN","CAN","75","220","2003","CHI","1","14","14"
"318","Brett Connolly","WSH","R","26","1992-05-02","Campbell River","BC","CAN","CAN","75","195","2010","T.B","1","6","6"
"741","Brett Howden","NYR","C","20","1998-03-29","Calgary","AB","CAN","CAN","74","195","2016","T.B","1","27","27"
"480","Brett Kulak","MTL","D","25","1994-01-06","Edmonton","AB","CAN","CAN","74","187","2012","CGY","4","14","105"
"546","Brett Pesce","CAR","D","24","1994-11-15","Tarrytown","NY","USA","USA","75","206","2013","CAR","3","5","66"
"384","Brett Ritchie","DAL","R","25","1993-07-01","Orangeville","ON","CAN","CAN","75","220","2011","DAL","2","14","44"
"717","Brett Seney","N.J","L","22","1996-02-28","London","ON","CAN","CAN","69","156","2015","N.J","6","6","157"
"41","Brian Boyle","N.J","C","34","1984-12-18","Hingham","MA","USA","USA","78","245","2003","L.A","1","26","26"
"252","Brian Dumoulin","PIT","D","27","1991-09-06","Biddeford","ME","USA","USA","76","207","2009","CAR","2","21","51"
"347","Brian Gibbons","ANA","C, L","30","1988-02-26","Braintree","MA","USA","USA","68","175","-","-","-","-","-"
"676","Brock Boeser","VAN","R","21","1997-02-25","Burnsville","MN","USA","USA","73","208","2015","VAN","1","23","23"
"473","Brock McGinn","CAR","L","25","1994-02-02","Fergus","ON","CAN","CAN","72","187","2012","CAR","2","17","47"
"302","Brock Nelson","NYI","C","27","1991-10-15","Warroad","MN","USA","USA","75","212","2010","NYI","1","30","30"
"7","Brooks Orpik","WSH","D","38","1980-09-26","San Francisco","CA","USA","USA","75","217","2000","PIT","1","18","18"
"103","Bryan Little","WPG","C","31","1987-11-12","Edmonton","AB","CAN","CAN","72","191","2006","ATL","1","12","12"
"326","Bryan Rust","PIT","R","26","1992-05-11","Pontiac","MI","USA","USA","71","192","2010","PIT","3","20","80"
"798","C.J. Smith","BUF","L","24","1994-12-01","Des Moines","IA","USA","USA","71","181","-","-","-","-","-"
"114","Cal Clutterbuck","NYI","R","31","1987-11-18","Welland","ON","CAN","CAN","71","216","2006","MIN","3","9","72"
"679","Caleb Jones","EDM","D","21","1997-06-06","Arlington","TX","USA","USA","73","194","2015","EDM","4","26","117"
"285","Calle Jarnkrok","NSH","C","27","1991-09-25","Gävle","","SWE","SWE","71","186","2010","DET","2","21","51"
"239","Calvin de Haan","CAR","D","27","1991-05-09","Carp","ON","CAN","CAN","73","195","2009","NYI","1","12","12"
"212","Cam Atkinson","CBJ","R","29","1989-06-05","Riverside","CT","USA","USA","68","179","2008","CBJ","6","6","157"
"308","Cam Fowler","ANA","D","27","1991-12-05","Windsor","ON","CAN","USA","73","206","2010","ANA","1","12","12"
"423","Cameron Schilling","WPG","D","30","1988-10-07","Carmel","IN","USA","USA","74","182","-","-","-","-","-"
"540","Carl Dahlstrom","CHI","D","24","1995-01-28","Stockholm","","SWE","SWE","76","231","2013","CHI","2","21","51"
"158","Carl Gunnarsson","STL","D","32","1986-11-09","Orebro","","SWE","SWE","74","198","2007","TOR","7","13","194"
"170","Carl Hagelin","L.A, PIT","L","30","1988-08-23","Sodertalje","","SWE","SWE","71","186","2007","NYR","6","17","168"
"64","Carl Soderberg","COL","C","33","1985-10-12","Malmö","","SWE","SWE","75","210","2004","STL","2","19","49"
"498","Carter Rowney","ANA","C, R","29","1989-05-10","Grand Prairie","AB","CAN","CAN","74","206","-","-","-","-","-"
"259","Casey Cizikas","NYI","C","27","1991-02-27","Toronto","ON","CAN","CAN","71","195","2009","NYI","4","1","92"
"783","Casey Mittelstadt","BUF","C","20","1998-11-22","Edina","MN","USA","USA","73","202","2017","BUF","1","8","8"
"723","Casey Nelson","BUF","D","26","1992-07-18","Wisconsin Rapids","WI","USA","USA","73","185","-","-","-","-","-"
"481","Cedric Paquette","T.B","C","25","1993-08-13","Gaspe","QC","CAN","CAN","73","198","2012","T.B","4","10","101"
"499","Chad Ruhwedel","PIT","D","28","1990-05-07","San Diego","CA","USA","USA","71","191","-","-","-","-","-"
"458","Chandler Stephenson","WSH","C","24","1994-04-22","Saskatoon","SK","CAN","CAN","72","203","2012","WSH","3","16","77"
"475","Charles Hudon","MTL","L","24","1994-06-23","Alma","QC","CAN","CAN","70","196","2012","MTL","5","1","122"
"297","Charlie Coyle","MIN","C","26","1992-03-02","E. Weymouth","MA","USA","USA","75","220","2010","S.J","1","28","28"
"733","Charlie McAvoy","BOS","D","21","1997-12-21","Long Beach","NY","USA","USA","72","208","2016","BOS","1","14","14"
"93","Chris Butler","STL","D","32","1986-10-27","St. Louis","MO","USA","USA","73","196","2005","BUF","4","5","96"
"243","Chris Kreider","NYR","L","27","1991-04-30","Boxford","MA","USA","USA","75","216","2009","NYR","1","19","19"
"27","Chris Kunitz","CHI","L","39","1979-09-26","Regina","SK","CAN","CAN","72","188","-","-","-","-","-"
"16","Chris Thorburn","STL","R","35","1983-06-03","Sault Ste. Marie","ON","CAN","CAN","75","235","2001","BUF","2","20","50"
"465","Chris Tierney","OTT","C","24","1994-07-01","Keswick","ON","CAN","CAN","73","195","2012","S.J","2","25","55"
"313","Chris Wagner","BOS","R","27","1991-05-27","Walpole","MA","USA","USA","72","198","2010","ANA","5","2","122"
"258","Chris Wideman","EDM, FLA, OTT","D","29","1990-01-07","St. Louis","MO","USA","USA","70","183","2009","OTT","4","9","100"
"492","Christian Djoos","WSH","D","24","1994-08-06","Gothenburg","","SWE","SWE","72","169","2012","WSH","7","14","195"
"671","Christian Fischer","ARI","R","21","1997-04-15","Chicago","IL","USA","USA","74","214","2015","ARI","2","2","32"
"575","Christian Folin","PHI","D","27","1991-02-09","Gothenburg","","SWE","SWE","75","204","-","-","-","-","-"
"713","Christian Jaros","OTT","D","22","1996-04-02","Kosice","","SVK","SVK","75","201","2015","OTT","5","18","139"
"710","Christian Wolanin","OTT","D","23","1995-03-17","Quebec City","QC","CAN","CAN","74","185","2015","OTT","4","16","107"
"627","Christoffer Ehn","DET","C","22","1996-04-05","Skara","","SWE","SWE","75","181","2014","DET","4","16","106"
"283","Christopher Tanev","VAN","D","29","1989-12-20","Toronto","ON","CAN","CAN","74","197","-","-","-","-","-"
"633","Clark Bishop","CAR","C","22","1996-03-29","St. John's","NL","CAN","CAN","72","199","2014","CAR","5","7","127"
"116","Claude Giroux","PHI","C","31","1988-01-12","Hearst","ON","CAN","CAN","71","185","2006","PHI","1","22","22"
"736","Clayton Keller","ARI","C","20","1998-07-29","Chesterfield","MO","USA","USA","70","170","2016","ARI","1","7","7"
"444","Cody Ceci","OTT","D","25","1993-12-21","Ottawa","ON","CAN","CAN","74","209","2012","OTT","1","15","15"
"262","Cody Eakin","VGK","C","27","1991-05-24","Winnipeg","MB","CAN","CAN","72","190","2009","WSH","3","24","85"
"74","Cody McLeod","NYR","L","34","1984-06-26","Binscarth","MB","CAN","CAN","74","204","-","-","-","-","-"
"568","Colby Cave","BOS, EDM","C","24","1994-12-26","Battleford","SK","CAN","CAN","73","200","-","-","-","-","-"
"348","Colin Blackwell","NSH","C","25","1993-03-28","Lawrence","MA","USA","USA","69","190","2011","S.J","7","13","193"
"416","Colin Miller","VGK","D","26","1992-10-29","Sault Ste. Marie","ON","CAN","CAN","73","196","2012","L.A","5","30","151"
"654","Colin White","OTT","C","22","1997-01-30","Boston","MA","USA","USA","72","183","2015","OTT","1","21","21"
"184","Colin Wilson","COL","C","29","1989-10-20","Greenwich","CT","USA","USA","73","221","2008","NSH","1","7","7"
"454","Colton Parayko","STL","D","25","1993-05-12","St. Albert","AB","CAN","CAN","78","230","2012","STL","3","25","86"
"156","Colton Sceviour","FLA","C","29","1989-04-20","Red Deer","AB","CAN","CAN","72","192","2007","DAL","4","21","112"
"470","Colton Sissons","NSH","C","25","1993-11-05","North Vancouver","BC","CAN","CAN","73","200","2012","NSH","2","20","50"
"489","Connor Brown","TOR","R","25","1994-01-14","Toronto","ON","CAN","CAN","72","183","2012","TOR","6","5","156"
"474","Connor Carrick","DAL","D","24","1994-04-13","Orland Park","IL","USA","USA","70","192","2012","WSH","5","16","137"
"507","Connor Clifton","BOS","D","23","1995-04-28","Long Branch","NJ","USA","USA","71","175","2013","PHX","5","12","133"
"656","Connor McDavid","EDM","C","22","1997-01-13","Richmond Hill","ON","CAN","CAN","73","193","2015","EDM","1","1","1"
"410","Connor Murphy","CHI","D","25","1993-03-26","Dublin","OH","USA","USA","76","212","2011","PHX","1","20","20"
"711","Conor Garland","ARI","R","22","1996-03-11","Scituate","MA","USA","USA","70","165","2015","ARI","5","2","123"
"572","Conor Sheary","BUF","L","26","1992-06-08","Winchester","MA","USA","USA","68","176","-","-","-","-","-"
"674","Cooper Marody","EDM","C","22","1996-12-20","Brighton","MI","USA","USA","72","184","2015","PHI","6","7","158"
"265","Corban Knight","PHI","C","28","1990-09-10","Oliver","BC","CAN","CAN","74","195","2009","FLA","5","14","135"
"42","Corey Perry","ANA","R","33","1985-05-16","Peterborough","ON","CAN","CAN","75","206","2003","ANA","1","28","28"
"346","Cory Conacher","T.B","C","29","1989-12-14","Burlington","ON","CAN","CAN","68","180","-","-","-","-","-"
"257","Craig Smith","NSH","R","29","1989-09-05","Madison","WI","USA","USA","73","208","2009","NSH","4","7","98"
"569","Dakota Mermis","ARI","D","25","1994-01-05","Alton","IL","USA","USA","72","195","-","-","-","-","-"
"204","Dale Weise","PHI","R","30","1988-08-05","Winnipeg","MB","CAN","CAN","74","206","2008","NYR","4","20","111"
"218","Dalton Prout","CGY","D","28","1990-03-13","Kingsville","ON","CAN","CAN","75","215","2010","CBJ","6","4","154"
"468","Damon Severson","N.J","D","24","1994-08-07","Melville","SK","CAN","CAN","74","205","2012","N.J","2","30","60"
"100","Dan Girardi","T.B","D","34","1984-04-29","Welland","ON","CAN","CAN","73","212","-","-","-","-","-"
"15","Dan Hamhuis","NSH","D","36","1982-12-13","Smithers","BC","CAN","CAN","73","204","2001","NSH","1","12","12"
"647","Danick Martel","T.B","L","24","1994-12-12","Drummondville","QC","CAN","CAN","68","162","-","-","-","-","-"
"812","Daniel Brickley","L.A","D","23","1995-03-30","SANDY","UT","USA","USA","75","203","-","-","-","-","-"
"577","Daniel Carr","VGK","L","27","1991-11-01","Sherwood Park","AB","CAN","CAN","72","193","-","-","-","-","-"
"686","Daniel Sprong","ANA, PIT","R","21","1997-03-17","Amsterdam","","NLD","NLD","72","180","2015","PIT","2","16","46"
"496","Danny DeKeyser","DET","D","28","1990-03-07","Detroit","MI","USA","USA","75","192","-","-","-","-","-"
"630","Danton Heinen","BOS","C","23","1995-07-05","Langley","BC","CAN","CAN","73","188","2014","BOS","4","26","116"
"553","Darnell Nurse","EDM","D","24","1995-02-04","Hamilton","ON","CAN","CAN","76","221","2013","EDM","1","7","7"
"277","Darren Archibald","OTT, VAN","R","28","1990-02-09","Newmarket","ON","CAN","CAN","75","210","-","-","-","-","-"
"96","Darren Helm","DET","L","32","1987-01-21","St. Andrews","MB","CAN","CAN","72","196","2005","DET","5","7","132"
"47","David Backes","BOS","R","34","1984-05-01","Minneapolis","MN","USA","USA","75","215","2003","STL","2","32","62"
"801","David Kampf","CHI","C","24","1995-01-12","Chomutov","","CZE","CZE","74","188","-","-","-","-","-"
"67","David Krejci","BOS","C","32","1986-04-28","Sternberk","","CZE","CZE","72","188","2004","BOS","2","33","63"
"606","David Pastrnak","BOS","R","22","1996-05-25","Havirov","","CZE","CZE","72","194","2014","BOS","1","25","25"
"157","David Perron","STL","L","30","1988-05-28","Sherbrooke","QC","CAN","CAN","72","200","2007","STL","1","26","26"
"260","David Savard","CBJ","D","28","1990-10-22","St. Hyacinthe","QC","CAN","CAN","74","227","2009","CBJ","4","3","94"
"130","David Schlemko","MTL","D","31","1987-05-07","Edmonton","AB","CAN","CAN","73","191","-","-","-","-","-"
"704","Dean Kukan","CBJ","D","25","1993-07-08","Volketswil","","CHE","CHE","74","186","-","-","-","-","-"
"694","Denis Gurianov","DAL","R","21","1997-06-07","Togliatti","","RUS","RUS","75","195","2015","DAL","1","12","12"
"708","Denis Malgin","FLA","C","22","1997-01-18","Olten","","CHE","CHE","69","177","2015","FLA","4","11","102"
"749","Dennis Cholowski","DET","D","20","1998-02-15","Langley","BC","CAN","CAN","72","195","2016","DET","1","20","20"
"306","Derek Forbort","L.A","D","26","1992-03-04","Duluth","MN","USA","USA","76","219","2010","L.A","1","15","15"
"207","Derek Grant","ANA, PIT","C","28","1990-04-20","Abbotsford","BC","CAN","CAN","75","215","2008","OTT","4","28","119"
"5","Derek MacKenzie","FLA","C","37","1981-06-11","Sudbury","ON","CAN","CAN","71","177","1999","ATL","5","2","128"
"706","Derek Ryan","CGY","C","32","1986-12-29","Spokane","WA","USA","USA","71","185","-","-","-","-","-"
"199","Derek Stepan","ARI","C","28","1990-06-18","Hastings","MN","USA","USA","72","196","2008","NYR","2","21","51"
"119","Derick Brassard","FLA, PIT","C","31","1987-09-22","Hull","QC","CAN","CAN","73","202","2006","CBJ","1","6","6"
"448","Derrick Pouliot","VAN","D","25","1994-01-16","Estevan","SK","CAN","CAN","72","196","2012","PIT","1","8","8"
"11","Deryk Engelland","VGK","D","36","1982-04-03","Edmonton","AB","CAN","CAN","74","214","2000","N.J","6","27","194"
"304","Devante Smith-Pelly","WSH","R","26","1992-06-14","Scarborough","ON","CAN","CAN","72","223","2010","ANA","2","12","42"
"461","Devin Shore","ANA, DAL","C","24","1994-07-19","Ajax","ON","CAN","CAN","72","205","2012","DAL","2","31","61"
"628","Devon Toews","NYI","D","24","1994-02-21","Abbotsford","BC","CAN","CAN","73","191","2014","NYI","4","18","108"
"739","Dillon Dube","CGY","C","20","1998-07-20","Golden","AB","CAN","CAN","71","187","2016","CGY","2","26","56"
"539","Dillon Heatherington","DAL","D","23","1995-05-09","Calgary","AB","CAN","CAN","76","225","2013","CBJ","2","20","50"
