Player,Year,Team,Position_SIndC,GP_SIndC,TOI_SIndC,Goals_SIndC,Total_Assists_SIndC,First_Assists_SIndC,Second_Assists_SIndC,Total_Points_SIndC,IPP_SIndC,Shots_SIndC,SHPer_SIndC,iCF_SIndC,iFF_SIndC,iSCF_SIndC,iHDCF_SIndC,Rush_Attempts_SIndC,Rebounds_Created_SIndC,PIM_SIndC,Total_Penalties_SIndC,Minor_SIndC,Major_SIndC,Misconduct_SIndC,Penalties_Drawn_SIndC,Giveaways_SIndC,Takeaways_SIndC,Hits_SIndC,Hits_Taken_SIndC,Shots_Blocked_SIndC,Faceoffs_Won_SIndC,Faceoffs_Lost_SIndC,Faceoffs_Per_SIndC,Position_PPIndC,GP_PPIndC,TOI_PPIndC,Goals_PPIndC,Total_Assists_PPIndC,First_Assists_PPIndC,Second_Assists_PPIndC,Total_Points_PPIndC,IPP_PPIndC,Shots_PPIndC,SHPer_PPIndC,iCF_PPIndC,iFF_PPIndC,iSCF_PPIndC,iHDCF_PPIndC,Rush_Attempts_PPIndC,Rebounds_Created_PPIndC,PIM_PPIndC,Total_Penalties_PPIndC,Minor_PPIndC,Major_PPIndC,Misconduct_PPIndC,Penalties_Drawn_PPIndC,Giveaways_PPIndC,Takeaways_PPIndC,Hits_PPIndC,Hits_Taken_PPIndC,Shots_Blocked_PPIndC,Faceoffs_Won_PPIndC,Faceoffs_Lost_PPIndC,Faceoffs_Per_PPIndC,Position,GP,TOI,Goals,Total_Assists,First_Assists,Second_Assists,Total_Points,IPP,Shots,SHPer,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Per,Position_PkIndR,GP_PkIndR,PKTOI,PKTOI_GP,PKCF_60,PKCA_60,PKCFPer,PKFF_60,PKFA_60,PKFFPer,PKSF_60,PKSA_60,PKSFPer,PKGF_60,PKGA_60,PKGFPer,PKSCF_60,PKSCA_60,PKSCFPer,PKHDCF_60,PKHDCA_60,PKHDCFPer,PKHDGF_60,PKHDGA_60,PKHDGFPer,PKMDCF_60,PKMDCA_60,PKMDCFPer,PKMDGF_60,PKMDGA_60,PKMDGFPer,PKLDCF_60,PKLDCA_60,PKLDCFPer,PKLDGF_60,PKLDGA_60,PKLDGFPer,PKOn-Ice SHPer,PKOn-Ice SVPer,PKPDO,PKOff. Zone Faceoffs_60,PKNeu. Zone Faceoffs_60,PKDef. Zone Faceoffs_60,PKOnTFStarts_60,PKOffZoneStartPer,PKOffZoneFaceoffs_60,PKNeuZoneFaceoffs_60,PKDefZoneFaceoffs_60,PKOff. Zone Faceoff Per,Position_PPIndR,GP_PPIndR,PPTOI,PPTOI_GP,PPCF_60,PPCA_60,PPCFPer,PPFF_60,PPFA_60,PPFFPer,PPSF_60,PPSA_60,PPSFPer,PPGF_60,PPGA_60,PPGFPer,PPSCF_60,PPSCA_60,PPSCFPer,PPHDCF_60,PPHDCA_60,PPHDCFPer,PPHDGF_60,PPHDGA_60,PPHDGFPer,PPMDCF_60,PPMDCA_60,PPMDCFPer,PPMDGF_60,PPMDGA_60,PPMDGFPer,PPLDCF_60,PPLDCA_60,PPLDCFPer,PPLDGF_60,PPLDGA_60,PPLDGFPer,PPOn-Ice SHPer,PPOn-Ice SVPer,PPPDO,PPOff. Zone Faceoffs_60,PPNeu. Zone Faceoffs_60,PPDef. Zone Faceoffs_60,PPOnTFStarts_60,PPOffZoneStartPer,PPOffZoneFaceoffs_60,PPNeuZoneFaceoffs_60,PPDefZoneFaceoffs_60,PPOff. Zone Faceoff Per,Position_SIndR,GP_SIndR,TOI_SIndR,TOI_GP,CF_60,CA_60,CFPer,FF_60,FA_60,FFPer,SF_60,SA_60,SFPer,GF_60,GA_60,GFPer,SCF_60,SCA_60,SCFPer,HDCF_60,HDCA_60,HDCFPer,HDGF_60,HDGA_60,HDGFPer,MDCF_60,MDCA_60,MDCFPer,MDGF_60,MDGA_60,MDGFPer,LDCF_60,LDCA_60,LDCFPer,LDGF_60,LDGA_60,LDGFPer,On-Ice SHPer,On-Ice SVPer,PDO,Off. Zone Faceoffs_60,Neu. Zone Faceoffs_60,Def. Zone Faceoffs_60,OnTFStarts_60,OffZoneStartPer,OffZoneFaceoffs_60,NeuZoneFaceoffs_60,DefZoneFaceoffs_60,Off. Zone Faceoff Per,Position_Bios,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Brendan Lemieux,2018,WPG,L,9.0,66.8,1.0,0.0,0.0,0.0,1.0,33.33,6.0,16.67,9.0,8.0,4.0,1.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,3.0,2.0,1.0,11.0,7.0,1.0,0.0,0.0,-,L,9.0,4.6666666666667,0.0,0.0,0.0,0.0,0.0,-,0.0,-,1.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,9.0,4.666666667,0.518518519,25.71,12.86,66.67,0.0,12.86,0,0.0,12.86,0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,37.14,0.0,100,0.0,0.0,-,-,100,1,25.71,12.86,12.86,12.86,66.67,38.57,25.71,12.86,75,L,9.0,71.46666667,7.940740741,40.3,42.82,48.48,31.06,33.58,48.05,19.31,22.67,46.0,2.52,0.84,75,14.27,19.31,42.5,5.88,9.24,38.89,0.84,0.0,100,11.19,13.43,45.45,1.12,0.0,100,30.32,26.68,53.19,1.21,1.21,50,13.04,96.3,1.093,9.24,16.79,10.07,52.05,47.83,12.59,23.51,19.31,39.47,L,22.0,3/15/96,Denver,CO,USA,USA,73.0,210.0,2014,BUF,2,1,31
Brendan Perlini,2018,ARI,L,74.0,939.1833333333301,12.0,7.0,4.0,3.0,19.0,48.72,98.0,12.24,216.0,153.0,116.0,46.0,12.0,5.0,18.0,9.0,9.0,0.0,0.0,6.0,18.0,16.0,78.0,62.0,32.0,3.0,5.0,37.50,L,74.0,133.48333333333,5.0,6.0,3.0,3.0,11.0,64.71,31.0,16.13,64.0,48.0,27.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,12.0,2.0,2.0,1.0,66.67,L,74.0,1.2,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,L,74.0,1.2,0.016216216000000002,0.0,50.0,0,0.0,50.0,0,0.0,50.0,0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,72.22,0,0.0,0.0,-,-,100,1,50.0,0.0,0.0,300.0,100,100.0,0.0,0.0,100,L,74.0,133.4833333,1.803828829,92.15,17.53,84.02,71.47,14.83,82.81,47.2,11.69,80.15,7.64,1.8,80.95,49.89,11.24,81.62,26.52,5.84,81.94,4.94,1.35,78.57,31.16,7.19,81.25,0.6,0.6,50,55.19,5.19,91.4,3.25,0.0,100,16.19,84.62,1.008,35.51,4.94,1.8,29.67,95.18,50.79,8.09,4.49,91.87,L,74.0,1073.866667,14.51171171,61.12,57.27,51.63,42.91,43.75,49.52,29.67,30.28,49.49,3.13,2.29,57.73,28.22,26.54,51.53,11.62,10.9,51.61,1.56,1.34,53.85,22.13,20.86,51.47,0.97,0.74,56.52,38.42,37.21,50.8,1.13,0.24,82.35,10.55,92.44,1.03,15.42,13.97,8.6,45.65,64.19,23.58,19.33,17.71,57.1,L,22.0,4/27/96,Guildford,,GBR,GBR,75.0,211.0,2014,ARI,1,12,12
Brendan Smith,2018,NYR,D,44.0,690.5166666666701,1.0,6.0,4.0,2.0,7.0,21.21,64.0,1.56,114.0,82.0,32.0,11.0,1.0,5.0,50.0,22.0,20.0,2.0,0.0,16.0,43.0,20.0,55.0,72.0,36.0,0.0,0.0,-,D,44.0,2.3,0.0,1.0,0.0,1.0,1.0,100.00,0.0,-,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,D,44.0,62.55,0.0,0.0,0.0,0.0,0.0,-,2.0,0.00,4.0,3.0,3.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,-,D,44.0,62.55,1.421590909,17.27,79.62,17.82,16.31,70.02,18.89,10.55,56.59,15.71,0.0,12.47,0,10.55,50.84,17.19,3.84,29.74,11.43,0.0,7.67,0,8.95,28.14,24.14,0.0,2.56,0,5.54,40.18,12.12,0.0,4.16,0,0,77.97,0.78,2.88,1.92,21.1,70.98,12,2.88,7.67,24.94,10.34,D,44.0,2.3,0.052272727000000005,156.52,0.0,100,130.43,0.0,100,104.35,0.0,100,26.09,0.0,100,26.09,0.0,100,26.09,0.0,100,26.09,0.0,100,0.0,0.0,-,0.0,0.0,-,188.41,0.0,100,0.0,0.0,-,25,-,0.25,78.26,26.09,0.0,104.35,100,130.43,52.17,0.0,100,D,44.0,755.3666667,17.16742424,51.07,62.75,44.87,40.27,48.77,45.23,29.79,35.66,45.51,2.7,3.49,43.59,24.62,33.68,42.23,11.99,15.17,44.15,1.75,1.67,51.16,16.84,24.68,40.56,0.74,1.59,31.82,30.86,35.34,46.62,0.34,0.69,33.33,9.07,90.2,0.993,9.77,11.84,9.61,52.98,50.41,17.16,18.67,17.63,49.32,D,29.0,2/8/89,Mimico,ON,CAN,CAN,74.0,195.0,2007,DET,1,27,27
Brenden Dillon,2018,S.J,D,81.0,1283.3333333333,5.0,17.0,8.0,9.0,22.0,38.60,84.0,5.95,199.0,136.0,40.0,5.0,3.0,11.0,44.0,16.0,12.0,4.0,0.0,8.0,29.0,6.0,190.0,130.0,96.0,0.0,0.0,-,D,81.0,3.0333333333333,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,D,81.0,116.53333333333,0.0,0.0,0.0,0.0,0.0,0.00,4.0,0.00,4.0,4.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,1.0,5.0,0.0,5.0,7.0,2.0,11.0,0.0,0.0,-,D,81.0,116.53333329999998,1.438683128,19.57,83.92,18.91,16.99,67.45,20.12,13.9,53.55,20.61,1.03,4.12,20,9.78,46.34,17.43,5.66,28.83,16.42,0.51,3.09,14.29,5.49,23.34,19.05,0.69,0.69,50,6.69,48.34,12.16,0.0,0.74,0,7.41,92.31,0.997,2.57,5.15,23.17,60.76,10,4.12,10.3,28.32,12.7,D,81.0,3.0333333330000003,0.03744856,79.12,19.78,80,39.56,19.78,66.67,19.78,19.78,50,0.0,0.0,-,39.56,0.0,100,19.78,0.0,100,0.0,0.0,-,26.37,0.0,100,0.0,0.0,-,28.57,0.0,100,0.0,0.0,-,0,100,1,0.0,98.9,59.34,217.58,0,0.0,98.9,59.34,0,D,81.0,1402.9,17.31975309,57.27,59.75,48.94,42.64,43.5,49.5,29.68,31.35,48.63,2.52,3.16,44.36,25.66,28.23,47.62,11.55,13.34,46.39,1.37,2.27,37.65,18.82,19.84,48.67,0.57,0.68,45.45,37.31,37.0,50.21,0.99,0.56,64,8.5,89.9,0.9840000000000001,9.58,12.75,8.47,49.4,53.08,17.36,20.19,16.64,51.07,D,28.0,11/13/90,New Westminster,BC,CAN,CAN,76.0,225.0,-,-,-,-,-
Brent Burns,2018,S.J,D,82.0,1644.85,7.0,32.0,18.0,14.0,39.0,60.94,259.0,2.70,608.0,380.0,113.0,17.0,6.0,26.0,34.0,16.0,16.0,0.0,0.0,5.0,99.0,58.0,69.0,75.0,121.0,0.0,0.0,-,D,82.0,301.4,5.0,22.0,12.0,10.0,27.0,62.79,71.0,7.04,160.0,98.0,31.0,1.0,4.0,10.0,4.0,2.0,2.0,0.0,0.0,0.0,18.0,6.0,3.0,2.0,8.0,0.0,0.0,-,D,82.0,123.65,0.0,1.0,0.0,1.0,1.0,25.00,2.0,0.00,7.0,4.0,2.0,0.0,1.0,0.0,8.0,4.0,4.0,0.0,0.0,2.0,7.0,11.0,7.0,2.0,7.0,0.0,0.0,-,D,82.0,123.65,1.507926829,18.92,90.74,17.26,16.98,72.3,19.02,13.1,54.83,19.29,1.94,4.37,30.77,7.76,48.04,13.91,3.4,23.29,12.73,0.49,2.43,16.67,5.82,33.0,15,1.29,1.94,40,8.41,53.27,13.64,0.7,0.7,50,14.81,92.04,1.069,1.94,4.85,27.17,58.23,6.67,4.37,10.19,32.51,11.84,D,82.0,301.4,3.675609756,125.61,18.51,87.15,92.97,15.93,85.37,66.89,13.14,83.58,8.56,0.4,95.56,64.9,6.97,90.3,26.87,3.98,87.1,3.19,0.4,88.89,50.7,3.98,92.72,3.19,0.0,100,82.53,9.49,89.69,4.31,0.0,100,12.8,96.97,1.098,29.46,4.98,0.2,4.38,99.33,63.9,10.95,2.79,95.82,D,82.0,2069.9,25.24268293,74.47,54.23,57.86,53.63,39.83,57.38,37.57,29.51,56.01,3.22,2.7,54.41,33.91,25.51,57.07,14.35,11.51,55.49,1.42,1.57,47.57,26.09,18.67,58.29,1.12,0.73,60.42,49.36,32.45,60.34,1.3,0.54,70.45,8.56,90.86,0.9940000000000001,13.42,11.25,6.03,35.05,69,28.76,18.58,14.38,66.67,D,33.0,3/9/85,Barrie,ON,CAN,CAN,77.0,230.0,2003,MIN,1,20,20
Brent Seabrook,2018,CHI,D,81.0,1292.2666666667,5.0,13.0,7.0,6.0,18.0,31.03,101.0,4.95,225.0,147.0,52.0,14.0,5.0,15.0,34.0,17.0,17.0,0.0,0.0,8.0,60.0,18.0,74.0,94.0,135.0,0.0,1.0,0.00,D,81.0,171.16666666667,2.0,6.0,1.0,5.0,8.0,57.14,29.0,6.90,76.0,42.0,11.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,6.0,3.0,0.0,0.0,-,D,81.0,172.55,0.0,0.0,0.0,0.0,0.0,0.00,6.0,0.00,6.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,6.0,7.0,1.0,32.0,0.0,1.0,0.00,D,81.0,172.55,2.130246914,13.56,107.79,11.17,11.47,80.32,12.5,10.43,58.07,15.23,0.7,9.04,7.14,5.91,55.64,9.6,2.78,26.08,9.64,0.35,4.52,7.14,4.17,39.41,9.57,0.0,1.85,0,6.53,70.32,8.5,0.5,4.52,10,6.67,84.43,0.911,2.43,6.26,42.07,37.21,5.47,4.87,9.74,66.42,6.83,D,81.0,171.16666669999998,2.113168724,90.09,14.37,86.24,59.24,12.97,82.04,43.47,9.46,82.12,4.91,0.7,87.5,36.81,5.61,86.78,16.12,3.15,83.64,3.15,0.0,100,27.58,3.27,89.39,0.93,0.0,100,74.43,6.08,92.45,1.52,0.51,75,11.29,92.59,1.039,29.09,6.66,1.75,23.14,94.32,50.13,10.87,3.51,93.46,D,81.0,1635.983333,20.1973251,63.59,61.91,50.67,44.6,45.55,49.47,32.68,33.85,49.12,2.71,3.26,45.4,30.4,29.82,50.49,11.74,13.79,45.98,1.43,1.91,42.86,24.89,21.37,53.81,0.98,0.78,55.56,41.48,39.04,51.51,0.74,0.74,50,8.31,90.36,0.987,12.98,12.58,12.65,47.05,50.64,25.16,18.78,22.48,52.81,D,33.0,4/20/85,Richmond,BC,CAN,CAN,75.0,220.0,2003,CHI,1,14,14
Brett Connolly,2018,WSH,R,70.0,736.8166666666701,11.0,11.0,8.0,3.0,22.0,64.71,54.0,20.37,127.0,88.0,81.0,26.0,3.0,5.0,12.0,6.0,6.0,0.0,0.0,4.0,18.0,16.0,70.0,50.0,24.0,10.0,13.0,43.48,R,70.0,101.11666666667,4.0,1.0,0.0,1.0,5.0,45.45,13.0,30.77,21.0,16.0,14.0,6.0,0.0,2.0,8.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,4.0,4.0,50.00,R,70.0,1.0333333333333001,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,R,70.0,1.033333333,0.014761905,116.13,58.06,66.67,58.06,58.06,50,0.0,58.06,0,0.0,0.0,-,58.06,58.06,50,0.0,58.06,0,0.0,0.0,-,77.42,0.0,100,0.0,0.0,-,83.87,0.0,100,0.0,0.0,-,-,100,1,0.0,0.0,0.0,174.19,-,0.0,0.0,0.0,-,R,70.0,101.1166667,1.44452381,86.63,19.58,81.56,63.49,16.61,79.26,49.25,13.05,79.05,6.53,1.19,84.62,36.2,8.31,81.33,15.43,4.15,78.79,3.56,1.19,75,27.69,5.54,83.33,1.58,0.0,100,67.71,9.43,87.78,2.57,0.0,100,13.25,90.91,1.042,23.73,8.31,0.59,40.94,97.56,36.2,17.8,4.75,88.41,R,70.0,840.2,12.00285714,56.34,54.06,51.03,38.78,42.2,47.88,27.28,29.78,47.81,3.21,2.86,52.94,26.14,26.28,49.86,8.86,12.43,41.61,1.36,2.07,39.58,23.04,18.47,55.5,1.62,0.48,77.27,36.93,32.7,53.04,0.93,0.52,64.29,11.78,90.41,1.022,11.14,13.57,5.86,44.63,65.55,19.0,20.35,12.64,60.05,R,26.0,5/2/92,Campbell River,BC,CAN,CAN,75.0,195.0,2010,T.B,1,6,6
Brett Kulak,2018,CGY,D,71.0,900.13333333333,2.0,6.0,2.0,4.0,8.0,22.86,72.0,2.78,168.0,112.0,32.0,9.0,5.0,6.0,25.0,11.0,10.0,1.0,0.0,8.0,24.0,17.0,45.0,68.0,48.0,0.0,0.0,-,D,71.0,3.6,0.0,0.0,0.0,0.0,0.0,-,1.0,0.00,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,D,71.0,18.25,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-,D,71.0,18.25,0.25704225399999997,9.86,95.34,9.38,6.58,75.62,8,6.58,55.89,10.53,0.0,6.58,0,3.29,49.32,6.25,3.29,29.59,10,0.0,6.58,0,0.0,26.3,0,0.0,0.0,-,9.5,66.48,12.5,0.0,0.0,-,0,88.24,0.882,0.0,6.58,13.15,75.62,0,6.58,6.58,19.73,25,D,71.0,3.6,0.050704225,83.33,0.0,100,66.67,0.0,100,33.33,0.0,100,0.0,0.0,-,33.33,0.0,100,0.0,0.0,-,0.0,0.0,-,44.44,0.0,100,0.0,0.0,-,48.15,0.0,100,0.0,0.0,-,0,-,0,33.33,50.0,0.0,100.0,100,50.0,66.67,0.0,100,D,71.0,921.9833332999999,12.98568075,61.37,57.53,51.61,45.88,42.24,52.07,31.76,30.33,51.15,2.28,2.6,46.67,26.62,24.92,51.64,11.58,10.61,52.2,1.82,1.43,56,20.04,19.09,51.22,0.43,0.52,45.45,40.7,38.92,51.12,0.19,1.13,14.29,7.17,91.42,0.986,9.57,14.64,7.22,48.16,56.98,18.16,21.22,17.12,51.48,D,25.0,1/6/94,Edmonton,AB,CAN,CAN,74.0,187.0,2012,CGY,4,14,105
Brett Lernout,2018,MTL,D,18.0,278.08333333332996,0.0,0.0,0.0,0.0,0.0,0.00,13.0,0.00,37.0,23.0,4.0,0.0,1.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,10.0,3.0,54.0,20.0,15.0,0.0,0.0,-,D,18.0,0.2,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,D,18.0,22.766666666667,0.0,1.0,0.0,1.0,1.0,100.00,1.0,0.00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,-,D,18.0,22.76666667,1.264814815,15.81,79.06,16.67,13.18,60.61,17.86,13.18,36.9,26.32,2.64,7.91,25,7.91,52.71,13.04,5.27,26.35,16.67,2.64,2.64,50,3.51,35.14,9.09,0.0,3.51,0,3.81,34.26,10,0.0,3.81,0,20,78.57,0.986,2.64,5.27,10.54,71.16,20,7.91,10.54,23.72,25,D,18.0,0.2,0.011111111000000002,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,300.0,0.0,0.0,300.0,100,300.0,0.0,0.0,100,D,18.0,301.05,16.725,48.43,60.79,44.34,33.48,44.64,42.86,24.71,32.29,43.36,1.2,2.79,30,21.13,29.1,42.06,8.17,12.36,39.81,0.6,1.4,30,17.27,22.32,43.62,0.8,1.33,37.5,33.68,40.02,45.7,0.0,0.58,0,4.84,91.36,0.9620000000000001,5.98,7.97,7.97,58.59,42.86,17.74,15.55,18.34,49.17,D,23.0,9/24/95,Winnipeg,MB,CAN,CAN,76.0,214.0,2014,MTL,3,13,73
Brett Pesce,2018,CAR,D,65.0,1186.8833333333,3.0,16.0,7.0,9.0,19.0,40.43,85.0,3.53,194.0,126.0,47.0,11.0,9.0,16.0,16.0,8.0,8.0,0.0,0.0,10.0,19.0,30.0,49.0,89.0,78.0,0.0,1.0,0.00,D,65.0,18.95,0.0,0.0,0.0,0.0,0.0,0.00,2.0,0.00,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-,D,65.0,152.93333333333,0.0,0.0,0.0,0.0,0.0,0.00,1.0,0.00,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,7.0,8.0,2.0,23.0,0.0,0.0,-,D,65.0,152.93333330000002,2.352820513,11.38,100.44,10.18,9.02,71.4,11.22,6.28,48.65,11.43,0.39,9.02,4.17,3.14,47.86,6.15,1.96,23.15,7.81,0.39,4.71,7.69,1.57,32.96,4.55,0.0,1.57,0,4.53,69.14,6.15,0.0,4.53,0,6.25,81.45,0.877,0.78,3.53,36.88,18.05,2.08,3.14,7.85,55.71,5.33,D,65.0,18.95,0.291538462,69.66,19.0,78.57,47.49,19.0,71.43,31.66,15.83,66.67,3.17,0.0,100,44.33,6.33,87.5,22.16,3.17,87.5,3.17,0.0,100,29.55,4.22,87.5,0.0,0.0,-,36.59,9.15,80,0.0,0.0,-,10,100,1.1,47.49,25.33,0.0,75.99,100,56.99,25.33,0.0,100,D,65.0,1358.766667,20.90410256,54.49,56.04,49.3,39.83,42.35,48.47,27.55,29.85,48.0,2.16,3.4,38.89,25.57,26.1,49.49,11.13,11.04,50.2,1.41,1.55,47.76,19.25,20.08,48.95,0.59,1.35,30.3,34.0,36.93,47.93,0.45,1.02,30.43,7.85,88.61,0.965,6.98,13.91,12.06,39.43,36.66,15.81,20.4,21.28,42.62,D,24.0,11/15/94,Tarrytown,NY,USA,USA,75.0,206.0,2013,CAR,3,5,66
Brett Ritchie,2018,DAL,R,71.0,665.71666666667,5.0,6.0,2.0,4.0,11.0,50.00,94.0,5.32,174.0,126.0,93.0,47.0,8.0,12.0,28.0,14.0,14.0,0.0,0.0,8.0,15.0,9.0,158.0,55.0,9.0,0.0,1.0,0.00,R,71.0,103.15,2.0,1.0,0.0,1.0,3.0,33.33,23.0,8.70,38.0,32.0,32.0,19.0,0.0,3.0,14.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,14.0,6.0,1.0,0.0,0.0,-,R,71.0,0.71666666666667,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,R,71.0,0.716666667,0.010093897,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,0.0,0.0,0.0,83.72,-,0.0,0.0,0.0,-,R,71.0,103.15,1.452816901,108.77,13.96,88.63,83.18,12.8,86.67,57.0,10.47,84.48,5.24,1.16,81.82,60.49,4.65,92.86,23.85,2.33,91.11,2.91,0.58,83.33,48.86,3.1,94.03,0.78,0.0,100,63.86,2.52,96.2,2.52,0.0,100,9.18,88.89,0.981,40.14,9.89,1.16,25.59,97.18,52.35,12.8,2.91,94.74,R,71.0,769.5833332999999,10.83920188,67.05,43.04,60.91,47.71,31.81,60.0,34.07,23.16,59.54,2.42,1.64,59.62,32.98,18.56,63.99,13.88,6.47,68.2,1.4,0.62,69.23,25.47,16.11,61.25,0.31,0.94,25,39.75,26.46,60.03,1.13,0.23,83.33,7.09,92.93,1.0,15.13,16.76,6.24,53.09,70.8,21.91,20.66,14.89,59.53,R,25.0,7/1/93,Orangeville,ON,CAN,CAN,75.0,220.0,2011,DAL,2,14,44
Brian Boyle,2018,N.J,C,69.0,754.5,8.0,8.0,5.0,3.0,16.0,59.26,88.0,9.09,157.0,125.0,77.0,31.0,4.0,5.0,28.0,10.0,9.0,0.0,1.0,3.0,14.0,18.0,121.0,46.0,24.0,342.0,354.0,49.14,C,69.0,141.95,5.0,2.0,2.0,0.0,7.0,41.18,31.0,16.13,38.0,34.0,28.0,21.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,0.0,63.0,48.0,56.76,C,69.0,19.783333333333,0.0,0.0,0.0,0.0,0.0,-,1.0,0.00,1.0,1.0,1.0,1.0,1.0,0.0,15.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,15.0,10.0,60.00,C,69.0,19.78333333,0.286714976,6.07,124.35,4.65,6.07,100.08,5.71,6.07,78.85,7.14,0.0,18.2,0,3.03,66.72,4.35,3.03,30.33,9.09,0.0,6.07,0,0.0,48.53,0,0.0,8.09,0,0.0,74.47,0,0.0,8.76,0,0,76.92,0.769,0.0,9.1,63.69,48.53,0,0.0,9.1,69.76,0,C,69.0,141.95,2.057246377,102.71,17.33,85.56,80.73,15.64,83.77,57.91,12.68,82.04,7.19,0.42,94.44,51.57,7.19,87.77,22.82,2.54,90,4.23,0.0,100,38.32,6.2,86.08,1.13,0.56,66.67,68.99,6.72,91.13,3.05,0.0,100,12.41,96.67,1.091,30.86,2.96,1.69,24.94,94.81,53.26,6.76,3.8,93.33,C,69.0,916.2333332999999,13.27874396,63.19,53.11,54.34,48.98,39.95,55.08,35.49,28.09,55.82,2.88,2.75,51.16,28.36,23.38,54.81,11.92,8.51,58.33,1.44,1.38,51.16,21.92,19.82,52.51,0.7,1.05,40,42.66,34.62,55.2,1.04,0.76,57.89,8.12,90.21,0.983,11.92,9.36,11.46,44.07,50.98,24.75,16.24,21.02,54.08,C,34.0,12/18/84,Hingham,MA,USA,USA,78.0,245.0,2003,L.A,1,26,26
